route-views.amsix.routeviews.org 8821 80.249.208.12 20 CH ripencc TELEZUG WWZ Telekom AG TELEZUG, CH
route-views.amsix.routeviews.org 39591 2001:7f8:1::a503:9591:1 51447 NL ripencc GLOBAL-E, NL
route-views.amsix.routeviews.org 41805 2001:7f8:1::a504:1805:1 66590 IQ ripencc IQ-SAWADLAND-AS, IQ
route-views.amsix.routeviews.org 42541 2001:7f8:1::a504:2541:1 135958 DK ripencc FIBERBY, DK
route-views.amsix.routeviews.org 47957 2001:7f8:1::a504:7957:1 136635 FR ripencc ING-AS, FR
route-views.amsix.routeviews.org 49544 2001:7f8:1::a504:9544:1 54 NL ripencc I3DNET, NL
route-views.amsix.routeviews.org 50763 2001:7f8:1::a505:763:1 139008 GB ripencc MCKAYCOM, GB
route-views.amsix.routeviews.org 51088 2001:7f8:1::a505:1088:1 134847 NL ripencc A2B, NL
route-views.amsix.routeviews.org 58511 2001:7f8:1::a505:8511:1 137468 AU apnic ANYCAST-GLOBAL-BACKBONE Anycast Global Backbone, AU
route-views.amsix.routeviews.org 61955 2001:7f8:1::a506:1955:1 21529 DE ripencc COLOCATIONIX-AS, DE
route-views.amsix.routeviews.org 62955 2001:7f8:1::a506:2955:1 2 US arin EBAYMTBB, US
route-views.amsix.routeviews.org 199524 2001:7f8:1:0:a500:19:9524:1 140448 LU ripencc GCORE, LU
route-views.amsix.routeviews.org 213035 2001:7f8:1:0:a500:21:3035:1 4 NL ripencc AS-SERVERION Serverion B.V., NL
route-views.amsix.routeviews.org 267613 2001:7f8:1:0:a500:26:7613:1 142680 BR lacnic ELETRONET S.A., BR
route-views.amsix.routeviews.org 3214 2001:7f8:f2:e1::3214:2 140455 DE ripencc XTOM xTom, DE
route-views.amsix.routeviews.org 211398 2001:7f8:f2:e1:0:21:1398:1 142137 BE ripencc CRAZYGROUP-AS, BE
route-views.amsix.routeviews.org 211398 2001:7f8:f2:e1:0:21:1398:2 142139 BE ripencc CRAZYGROUP-AS, BE
route-views.amsix.routeviews.org 212983 2001:7f8:f2:e1:0:21:2983:1 1 FR ripencc SKYSERV, FR
route-views.amsix.routeviews.org 56662 2001:7f8:f2:e1:0:a105:6662:1 124843 PL ripencc EUTPNET, PL
route-views.amsix.routeviews.org 208753 2001:7f8:f2:e1:0:a520:8753:1 142857 IT ripencc NETSIX, IT
route-views.amsix.routeviews.org 210633 2001:7f8:f2:e1:0:a521:633:1 8 DE ripencc DEVSTORAGE, DE
route-views.bdix.routeviews.org 140684 103.151.196.1 5627 BD apnic BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bdix.routeviews.org 140684 103.151.196.5 5268 BD apnic BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bdix.routeviews.org 140684 2001:df3:d680::1 686 BD apnic BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bdix.routeviews.org 140684 2001:df3:d680::5 722 BD apnic BDIX-AS-AP Bangladesh Internet Exchange Trust, BD
route-views.bknix.routeviews.org 132280 203.159.68.122 606 TH apnic SYMPHONY-AP-TH Symphony Communication Thailand PCL., TH
route-views.bknix.routeviews.org 132280 2001:deb:0:68::122 35 TH apnic SYMPHONY-AP-TH Symphony Communication Thailand PCL., TH
route-views.chicago.routeviews.org 17350 208.115.136.5 884115 US arin MOODYS, US
route-views.chicago.routeviews.org 19151 208.115.136.18 879906 US arin BBO-1, US
route-views.chicago.routeviews.org 6325 208.115.136.22 167 US arin ILLINOIS-CENTURY, US
route-views.chicago.routeviews.org 199524 208.115.136.42 875407 LU ripencc GCORE, LU
route-views.chicago.routeviews.org 293 208.115.136.58 904693 US arin ESNET, US
route-views.chicago.routeviews.org 852 208.115.136.67 875183 CA arin TELUS Communications, CA
route-views.chicago.routeviews.org 17350 208.115.136.95 884115 US arin MOODYS, US
route-views.chicago.routeviews.org 13727 208.115.136.117 15 CA arin ND-CA-ASN, CA
route-views.chicago.routeviews.org 19016 208.115.136.119 411629 CA arin WCG-AS, CA
route-views.chicago.routeviews.org 19653 208.115.136.133 885250 US arin CTSTELECOM, US
route-views.chicago.routeviews.org 32709 208.115.136.134 818885 US arin 1-JOINK, US
route-views.chicago.routeviews.org 62955 208.115.136.179 22 US arin EBAYMTBB, US
route-views.chicago.routeviews.org 714 208.115.136.182 1013 US arin APPLE-ENGINEERING, US
route-views.chicago.routeviews.org 53828 208.115.136.220 876056 US arin NITEL, US
route-views.chicago.routeviews.org 395570 208.115.136.229 910458 CA arin FIBRESTREAM, CA
route-views.chicago.routeviews.org 4775 208.115.136.231 811 PH apnic GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.chicago.routeviews.org 25885 208.115.137.10 877502 US arin FORTINET, US
route-views.chicago.routeviews.org 8220 208.115.137.35 874306 GB ripencc COLT COLT Technology Services Group Limited, GB
route-views.chicago.routeviews.org 49544 208.115.137.50 242 NL ripencc I3DNET, NL
route-views.chicago.routeviews.org 26744 208.115.137.62 359 US arin PCL, US
route-views.chicago.routeviews.org 16552 208.115.137.69 875037 US arin TIGGEE, US
route-views.chicago.routeviews.org 14630 208.115.137.100 875381 US arin INVESCO, US
route-views.chicago.routeviews.org 14630 208.115.137.200 875381 US arin INVESCO, US
route-views.chicago.routeviews.org 293 2001:504:0:4::293:1 135090 US arin ESNET, US
route-views.chicago.routeviews.org 714 2001:504:0:4::714:2 175 US arin APPLE-ENGINEERING, US
route-views.chicago.routeviews.org 852 2001:504:0:4::852:1 135648 CA arin TELUS Communications, CA
route-views.chicago.routeviews.org 4775 2001:504:0:4::4775:1 3 PH apnic GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.chicago.routeviews.org 6325 2001:504:0:4::6325:1 2 US arin ILLINOIS-CENTURY, US
route-views.chicago.routeviews.org 8220 2001:504:0:4::8220:1 139709 GB ripencc COLT COLT Technology Services Group Limited, GB
route-views.chicago.routeviews.org 14630 2001:504:0:4:0:1:4630:1 139362 US arin INVESCO, US
route-views.chicago.routeviews.org 14630 2001:504:0:4:0:1:4630:2 139927 US arin INVESCO, US
route-views.chicago.routeviews.org 16552 2001:504:0:4:0:1:6552:1 134869 US arin TIGGEE, US
route-views.chicago.routeviews.org 17350 2001:504:0:4:0:1:7350:1 134725 US arin MOODYS, US
route-views.chicago.routeviews.org 17350 2001:504:0:4:0:1:7350:2 134603 US arin MOODYS, US
route-views.chicago.routeviews.org 19016 2001:504:0:4:0:1:9016:1 58272 CA arin WCG-AS, CA
route-views.chicago.routeviews.org 19151 2001:504:0:4:0:1:9151:1 137406 US arin BBO-1, US
route-views.chicago.routeviews.org 19653 2001:504:0:4:0:1:9653:1 142597 US arin CTSTELECOM, US
route-views.chicago.routeviews.org 25885 2001:504:0:4:0:2:5885:1 0 US arin FORTINET, US
route-views.chicago.routeviews.org 49544 2001:504:0:4:0:4:9544:1 68 NL ripencc I3DNET, NL
route-views.chicago.routeviews.org 53828 2001:504:0:4:0:5:3828:1 139970 US arin NITEL, US
route-views.chicago.routeviews.org 62955 2001:504:0:4:0:6:2955:1 2 US arin EBAYMTBB, US
route-views.chicago.routeviews.org 199524 2001:504:0:4:0:19:9524:1 135249 LU ripencc GCORE, LU
route-views.chicago.routeviews.org 395570 2001:504:0:4:0:39:5570:1 4 CA arin FIBRESTREAM, CA
route-views.chile.routeviews.org 27678 200.16.114.34 907088 CL lacnic NIC Chile, CL
route-views.chile.routeviews.org 27678 200.16.114.53 0 CL lacnic NIC Chile, CL
route-views.eqix.routeviews.org 2914 206.126.236.12 874198 US arin NTT-LTD-2914, US
route-views.eqix.routeviews.org 3257 206.126.236.19 874001 US ripencc GTT-BACKBONE GTT, US
route-views.eqix.routeviews.org 6079 206.126.236.25 874994 US arin RCN-AS, US
route-views.eqix.routeviews.org 6939 206.126.236.37 902810 US arin HURRICANE, US
route-views.eqix.routeviews.org 19151 206.126.236.47 879925 US arin BBO-1, US
route-views.eqix.routeviews.org 32098 206.126.236.58 5963 US arin TRANSTELCO-INC, US
route-views.eqix.routeviews.org 6830 206.126.236.117 874472 NL ripencc LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.eqix.routeviews.org 41095 206.126.236.120 889187 GB ripencc IPTP, GB
route-views.eqix.routeviews.org 293 206.126.236.137 904703 US arin ESNET, US
route-views.eqix.routeviews.org 7795 206.126.236.156 445 US arin LUMOS, US
route-views.eqix.routeviews.org 11039 206.126.236.172 887556 US arin GWU, US
route-views.eqix.routeviews.org 8781 206.126.236.181 715 QA ripencc QA-ISP, QA
route-views.eqix.routeviews.org 398465 206.126.236.209 921316 US arin RACKDOG-LLC, US
route-views.eqix.routeviews.org 40934 206.126.236.218 319192 US arin FORTINET, US
route-views.eqix.routeviews.org 62955 206.126.236.224 21 US arin EBAYMTBB, US
route-views.eqix.routeviews.org 25885 206.126.236.234 896038 US arin FORTINET, US
route-views.eqix.routeviews.org 199524 206.126.237.22 877624 LU ripencc GCORE, LU
route-views.eqix.routeviews.org 4775 206.126.237.90 765 PH apnic GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.eqix.routeviews.org 59605 206.126.237.125 1447 BH ripencc ZAINGP-AS, BH
route-views.eqix.routeviews.org 26744 206.126.237.130 359 US arin PCL, US
route-views.eqix.routeviews.org 54054 206.126.237.179 11 US arin DETEQUE, US
route-views.eqix.routeviews.org 49544 206.126.237.210 242 NL ripencc I3DNET, NL
route-views.eqix.routeviews.org 37468 206.126.238.56 176103 AO afrinic ANGOLA-CABLES, AO
route-views.eqix.routeviews.org 8220 206.126.238.64 874534 GB ripencc COLT COLT Technology Services Group Limited, GB
route-views.eqix.routeviews.org 16552 206.126.238.92 875337 US arin TIGGEE, US
route-views.eqix.routeviews.org 7195 206.126.238.207 1863 CO lacnic EDGEUNO SAS, CO
route-views.eqix.routeviews.org 17350 206.126.238.208 884114 US arin MOODYS, US
route-views.eqix.routeviews.org 17350 206.126.238.209 884114 US arin MOODYS, US
route-views.eqix.routeviews.org 293 2001:504:0:2::293:1 135111 US arin ESNET, US
route-views.eqix.routeviews.org 2914 2001:504:0:2::2914:1 134557 US arin NTT-LTD-2914, US
route-views.eqix.routeviews.org 3257 2001:504:0:2::3257:1 134685 US ripencc GTT-BACKBONE GTT, US
route-views.eqix.routeviews.org 4775 2001:504:0:2::4775:1 3 PH apnic GLOBE-TELECOM-AS Globe Telecoms, PH
route-views.eqix.routeviews.org 6762 2001:504:0:2::6762:1 25511 IT ripencc SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.eqix.routeviews.org 6830 2001:504:0:2::6830:1 134621 NL ripencc LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.eqix.routeviews.org 6939 2001:504:0:2::6939:1 137730 US arin HURRICANE, US
route-views.eqix.routeviews.org 7195 2001:504:0:2::7195:1 706 CO lacnic EDGEUNO SAS, CO
route-views.eqix.routeviews.org 8220 2001:504:0:2::8220:1 139718 GB ripencc COLT COLT Technology Services Group Limited, GB
route-views.eqix.routeviews.org 8781 2001:504:0:2::8781:1 255 QA ripencc QA-ISP, QA
route-views.eqix.routeviews.org 11039 2001:504:0:2:0:1:1039:1 142261 US arin GWU, US
route-views.eqix.routeviews.org 16552 2001:504:0:2:0:1:6552:1 134948 US arin TIGGEE, US
route-views.eqix.routeviews.org 17350 2001:504:0:2:0:1:7350:1 135126 US arin MOODYS, US
route-views.eqix.routeviews.org 17350 2001:504:0:2:0:1:7350:2 131613 US arin MOODYS, US
route-views.eqix.routeviews.org 19151 2001:504:0:2:0:1:9151:1 137407 US arin BBO-1, US
route-views.eqix.routeviews.org 25885 2001:504:0:2:0:2:5885:1 0 US arin FORTINET, US
route-views.eqix.routeviews.org 26744 2001:504:0:2:0:2:6744:130 9 US arin PCL, US
route-views.eqix.routeviews.org 37468 2001:504:0:2:0:3:7468:1 52659 AO afrinic ANGOLA-CABLES, AO
route-views.eqix.routeviews.org 40934 2001:504:0:2:0:4:934:2 0 US arin FORTINET, US
route-views.eqix.routeviews.org 49544 2001:504:0:2:0:4:9544:1 68 NL ripencc I3DNET, NL
route-views.eqix.routeviews.org 54054 2001:504:0:2:0:5:4054:1 3 US arin DETEQUE, US
route-views.eqix.routeviews.org 57695 2001:504:0:2:0:5:7695:1 135866 US ripencc MISAKA Misaka Network, Inc., US
route-views.eqix.routeviews.org 59605 2001:504:0:2:0:5:9605:1 30 BH ripencc ZAINGP-AS, BH
route-views.eqix.routeviews.org 62955 2001:504:0:2:0:6:2955:1 2 US arin EBAYMTBB, US
route-views.eqix.routeviews.org 199524 2001:504:0:2:0:19:9524:1 136097 LU ripencc GCORE, LU
route-views.eqix.routeviews.org 398465 2001:504:0:2:0:39:8465:1 141115 US arin RACKDOG-LLC, US
route-views.flix.routeviews.org 19151 206.41.108.11 879910 US arin BBO-1, US
route-views.flix.routeviews.org 20940 206.41.108.17 29 NL ripencc AKAMAI-ASN1, NL
route-views.flix.routeviews.org 13335 206.41.108.18 2289 US arin CLOUDFLARENET, US
route-views.flix.routeviews.org 6939 206.41.108.23 902398 US arin HURRICANE, US
route-views.flix.routeviews.org 13030 206.41.108.28 717760 CH ripencc INIT7, CH
route-views.flix.routeviews.org 28283 206.41.108.56 949 BR lacnic Adylnet Telecom, BR
route-views.flix.routeviews.org 52320 206.41.108.60 888470 CO lacnic GlobeNet Cabos Submarinos Colombia, S.A.S., CO
route-views.flix.routeviews.org 15280 206.41.108.66 172675 US arin HOSTLEASING2, US
route-views.flix.routeviews.org 61832 206.41.108.72 874486 BR lacnic Fortel Fortaleza Telecomunicacoes Ltda, BR
route-views.flix.routeviews.org 395880 206.41.108.79 33 US arin BCL-AS1, US
route-views.flix.routeviews.org 13760 206.41.108.96 878251 US arin UNITI-FIBER, US
route-views.flix.routeviews.org 26744 206.41.108.102 359 US arin PCL, US
route-views.flix.routeviews.org 199524 206.41.108.115 877650 LU ripencc GCORE, LU
route-views.flix.routeviews.org 62955 206.41.108.117 21 US arin EBAYMTBB, US
route-views.flix.routeviews.org 7195 206.41.108.146 7475 CO lacnic EDGEUNO SAS, CO
route-views.flix.routeviews.org 16552 206.41.108.147 875271 US arin TIGGEE, US
route-views.flix.routeviews.org 47957 206.41.108.152 144504 FR ripencc ING-AS, FR
route-views.flix.routeviews.org 263237 206.41.108.153 1413 CL lacnic PowerHost Telecom SPA, CL
route-views.flix.routeviews.org 263009 206.41.108.158 150605 BR lacnic FORTE TELECOM LTDA., BR
route-views.flix.routeviews.org 142580 206.41.108.168 872671 AU apnic EOPL-AS-AP Edgevirt, AU
route-views.flix.routeviews.org 13335 206.41.108.169 2289 US arin CLOUDFLARENET, US
route-views.flix.routeviews.org 19151 2001:504:40:108::1:11 137407 US arin BBO-1, US
route-views.flix.routeviews.org 20940 2001:504:40:108::1:17 1 NL ripencc AKAMAI-ASN1, NL
route-views.flix.routeviews.org 13335 2001:504:40:108::1:18 190 US arin CLOUDFLARENET, US
route-views.flix.routeviews.org 6939 2001:504:40:108::1:23 137730 US arin HURRICANE, US
route-views.flix.routeviews.org 13030 2001:504:40:108::1:28 44580 CH ripencc INIT7, CH
route-views.flix.routeviews.org 33132 2001:504:40:108::1:40 38 US arin FIBERNET-DIRECT, US
route-views.flix.routeviews.org 28283 2001:504:40:108::1:56 334 BR lacnic Adylnet Telecom, BR
route-views.flix.routeviews.org 52320 2001:504:40:108::1:60 138752 CO lacnic GlobeNet Cabos Submarinos Colombia, S.A.S., CO
route-views.flix.routeviews.org 15280 2001:504:40:108::1:66 137435 US arin HOSTLEASING2, US
route-views.flix.routeviews.org 61832 2001:504:40:108::1:72 0 BR lacnic Fortel Fortaleza Telecomunicacoes Ltda, BR
route-views.flix.routeviews.org 395880 2001:504:40:108::1:79 1 US arin BCL-AS1, US
route-views.flix.routeviews.org 13760 2001:504:40:108::1:96 136673 US arin UNITI-FIBER, US
route-views.flix.routeviews.org 26744 2001:504:40:108::1:102 9 US arin PCL, US
route-views.flix.routeviews.org 199524 2001:504:40:108::1:115 136303 LU ripencc GCORE, LU
route-views.flix.routeviews.org 62955 2001:504:40:108::1:117 2 US arin EBAYMTBB, US
route-views.flix.routeviews.org 7195 2001:504:40:108::1:146 2567 CO lacnic EDGEUNO SAS, CO
route-views.flix.routeviews.org 16552 2001:504:40:108::1:147 134919 US arin TIGGEE, US
route-views.flix.routeviews.org 47957 2001:504:40:108::1:152 47804 FR ripencc ING-AS, FR
route-views.flix.routeviews.org 263237 2001:504:40:108::1:153 17 CL lacnic PowerHost Telecom SPA, CL
route-views.flix.routeviews.org 263009 2001:504:40:108::1:158 55473 BR lacnic FORTE TELECOM LTDA., BR
route-views.flix.routeviews.org 13335 2001:504:40:108::1:169 190 US arin CLOUDFLARENET, US
route-views.fortaleza.routeviews.org 267613 45.184.144.102 901846 BR lacnic ELETRONET S.A., BR
route-views.fortaleza.routeviews.org 52320 45.184.144.128 888921 CO lacnic GlobeNet Cabos Submarinos Colombia, S.A.S., CO
route-views.fortaleza.routeviews.org 264479 45.184.145.15 895954 BR lacnic Turbozone Internet, BR
route-views.fortaleza.routeviews.org 7195 45.184.145.162 1326 CO lacnic EDGEUNO SAS, CO
route-views.fortaleza.routeviews.org 199524 45.184.146.59 874911 LU ripencc GCORE, LU
route-views.fortaleza.routeviews.org 267613 2001:12f8:0:9::102 142679 BR lacnic ELETRONET S.A., BR
route-views.fortaleza.routeviews.org 52320 2001:12f8:0:9::128 139646 CO lacnic GlobeNet Cabos Submarinos Colombia, S.A.S., CO
route-views.fortaleza.routeviews.org 263009 2001:12f8:0:9::161 126864 BR lacnic FORTE TELECOM LTDA., BR
route-views.fortaleza.routeviews.org 264479 2001:12f8:0:9::145:15 70489 BR lacnic Turbozone Internet, BR
route-views.fortaleza.routeviews.org 7195 2001:12f8:0:9::145:162 910 CO lacnic EDGEUNO SAS, CO
route-views.fortaleza.routeviews.org 268011 2001:12f8:0:9::145:237 139940 BR lacnic S.BARROS DE SOUZA-ME, BR
route-views.fortaleza.routeviews.org 199524 2001:12f8:0:9::146:59 133106 LU ripencc GCORE, LU
route-views.gixa.routeviews.org 37623 196.201.2.31 2 GH afrinic SURFLINE_GHANA_AS, GH
route-views.gorex.routeviews.org 35889 192.35.145.24 949 US arin GOREX, US
route-views.gorex.routeviews.org 35889 2604:8ac0:3000:3005::1 125 US arin GOREX, US
route-views.isc.routeviews.org 1280 198.32.176.3 160 US arin ISC-AS-1280, US
route-views.isc.routeviews.org 6939 198.32.176.20 902830 US arin HURRICANE, US
route-views.isc.routeviews.org 6762 198.32.176.70 172531 IT ripencc SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
route-views.isc.routeviews.org 49544 198.32.176.95 242 NL ripencc I3DNET, NL
route-views.isc.routeviews.org 30286 198.32.176.142 875055 US arin THM, US
route-views.isc.routeviews.org 19151 198.32.176.164 879910 US arin BBO-1, US
route-views.isc.routeviews.org 7575 198.32.176.177 893587 AU apnic AARNET-AS-AP Australian Academic and Research Network AARNet, AU
route-views.isc.routeviews.org 36351 198.32.176.207 899095 US arin SOFTLAYER, US
